datetime,open,high,low,close
2025-02-04 02:00:00,1.2354,1.2434,1.2336,1.2412
2025-02-04 03:00:00,1.2412,1.2436,1.2384,1.2386
2025-02-04 04:00:00,1.2386,1.2413,1.2382,1.2394
2025-02-04 05:00:00,1.2395,1.2403,1.2383,1.2392
2025-02-04 06:00:00,1.2392,1.2409,1.2392,1.2395
2025-02-04 07:00:00,1.2396,1.2409,1.2393,1.2403
2025-02-04 08:00:00,1.2402,1.2455,1.2397,1.2451
2025-02-04 09:00:00,1.2453,1.2453,1.2436,1.2441
2025-02-04 10:00:00,1.2441,1.2454,1.2431,1.2434
2025-02-04 11:00:00,1.2434,1.2438,1.2422,1.2424
2025-02-04 12:00:00,1.2424,1.2424,1.241,1.2421
2025-02-04 13:00:00,1.2422,1.2427,1.2418,1.2426
2025-02-04 14:00:00,1.2425,1.2428,1.2411,1.2415
2025-02-04 15:00:00,1.2414,1.2415,1.2407,1.2409
2025-02-04 16:00:00,1.2407,1.2407,1.238,1.2397
2025-02-04 17:00:00,1.2398,1.2411,1.2393,1.241
2025-02-04 18:00:00,1.2409,1.2421,1.2405,1.2415
2025-02-04 19:00:00,1.2415,1.243,1.2405,1.242
2025-02-04 20:00:00,1.2421,1.2437,1.242,1.2425
2025-02-04 21:00:00,1.2424,1.2435,1.2415,1.2426
2025-02-04 22:00:00,1.2426,1.2426,1.2403,1.2405
2025-02-04 23:00:00,1.2405,1.2416,1.2396,1.2415
2025-02-05 00:00:00,1.2414,1.243,1.2413,1.2428
2025-02-05 01:00:00,1.2429,1.2452,1.2429,1.2449
2025-02-05 02:00:00,1.2448,1.2486,1.2448,1.2477
2025-02-05 03:00:00,1.2476,1.2493,1.2471,1.2483
2025-02-05 04:00:00,1.2484,1.2487,1.2472,1.2483
2025-02-05 05:00:00,1.2482,1.249,1.2478,1.2483
2025-02-05 06:00:00,1.2484,1.2487,1.2475,1.2482
2025-02-05 07:00:00,1.2483,1.2489,1.2479,1.2489
2025-02-05 08:00:00,1.2488,1.2491,1.2479,1.2479
2025-02-05 09:00:00,1.2479,1.2481,1.2476,1.2481
2025-02-05 10:00:00,1.248,1.2483,1.2475,1.2475
2025-02-05 11:00:00,1.2477,1.2484,1.2474,1.2483
2025-02-05 12:00:00,1.2483,1.249,1.247,1.247
2025-02-05 13:00:00,1.247,1.2483,1.2469,1.2479
2025-02-05 14:00:00,1.2479,1.2481,1.2474,1.2475
2025-02-05 15:00:00,1.2474,1.2477,1.247,1.2473
2025-02-05 16:00:00,1.2472,1.2473,1.2464,1.2468
2025-02-05 17:00:00,1.2468,1.2489,1.2466,1.2477
2025-02-05 18:00:00,1.2476,1.2506,1.2471,1.2502
2025-02-05 19:00:00,1.25,1.2513,1.249,1.2506
2025-02-05 20:00:00,1.2506,1.2529,1.2505,1.2517
2025-02-05 21:00:00,1.2518,1.255,1.2513,1.254
2025-02-05 22:00:00,1.254,1.2545,1.2532,1.2532
2025-02-05 23:00:00,1.2531,1.254,1.2525,1.2538
2025-02-06 00:00:00,1.2538,1.2545,1.2512,1.2515
2025-02-06 01:00:00,1.2515,1.2527,1.2506,1.2518
2025-02-06 02:00:00,1.2535,1.2537,1.2502,1.2517
2025-02-06 03:00:00,1.2518,1.2523,1.2507,1.2513
2025-02-06 04:00:00,1.2513,1.2519,1.2503,1.2509
2025-02-06 05:00:00,1.2508,1.2514,1.2505,1.251
2025-02-06 06:00:00,1.2511,1.2513,1.2503,1.2506
2025-02-06 07:00:00,1.2504,1.2505,1.2498,1.2502
2025-02-06 08:00:00,1.2502,1.2507,1.2502,1.2506
2025-02-06 09:00:00,1.2508,1.2508,1.2502,1.2504
2025-02-06 10:00:00,1.2504,1.2506,1.25,1.2502
2025-02-06 11:00:00,1.2501,1.2508,1.2498,1.2503
2025-02-06 12:00:00,1.2504,1.251,1.2501,1.2509
2025-02-06 13:00:00,1.2508,1.2509,1.249,1.2494
2025-02-06 14:00:00,1.2494,1.2496,1.249,1.2494
2025-02-06 15:00:00,1.2495,1.2497,1.2487,1.2488
2025-02-06 16:00:00,1.2489,1.2492,1.2483,1.2484
2025-02-06 17:00:00,1.2485,1.2491,1.2483,1.2486
2025-02-06 18:00:00,1.2485,1.2486,1.2471,1.2473
2025-02-06 19:00:00,1.2475,1.2475,1.2442,1.2447
2025-02-06 20:00:00,1.2447,1.2455,1.2418,1.2426
2025-02-06 21:00:00,1.2426,1.2432,1.2407,1.2418
2025-02-06 22:00:00,1.2418,1.243,1.2416,1.2424
